Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Beremend;;;186;11;;;189;13;39
Bogád;;;399;4;;;399;4;35
Bóly;;;339;4;;;339;4;27
Harkány;;;570;19;;;570;19;25
Hosszúhetény;;;578;4;;;578;4;8
Komló;79;7;247;305;244;121;243;433;33
Kozármisleny;;;712;37;;;712;37;15
Kővágószőlős;;;311;9;;;265;11;48
Mecseknádasd;;;;;;;198;3;95
Mohács;114;8;353;78;328;38;330;124;36
PÉCS;266;35;622;971;556;1005;583;2011;28
Pécsvárad;;;302;7;;;302;7;23
Sásd;;;257;10;;;257;10;30
Sátorhely;;;201;3;;;218;5;27
Sellye;;;178;3;;;178;3;65
Siklós;145;6;298;18;399;33;340;57;42
Szalánta;;;163;5;;;163;5;91
Szederkény;;;232;5;;;232;5;97
Szentlőrinc;;;383;38;375;11;383;50;28
Szigetvár;137;4;289;37;366;24;308;65;35
Villány;;;348;6;;;318;7;59
Baranya vármegye összesen;186;93;501;1596;508;1235;494;2924;42
