Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Abaújszántó;163;8;130;3;;;154;11;42
Alsózsolca;249;20;;;;;240;22;52
Arló;95;6;;;;;92;8;44
Arnót;438;3;199;3;;;318;6;61
Ároktő;71;6;;;;;71;6;60
Aszaló;155;4;149;3;;;152;7;54
Bánhorváti;;;;;;;242;3;11
Bánréve;106;6;98;3;;;103;9;40
Bekecs;168;13;;;;;170;14;39
Berente;;;219;3;;;285;6;49
Bodroghalom;128;3;;;;;128;3;32
Bodrogolaszi;206;5;;;;;204;6;59
Bogács;376;10;;;;;378;11;43
Boldva;200;4;;;;;163;5;80
Borsodnádasd;52;8;51;13;81;5;57;26;68
Bőcs;177;6;;;;;186;8;31
Bükkábrány;233;5;;;;;233;5;9
Cserépfalu;290;4;225;4;;;257;8;26
Csernely;130;4;;;;;130;4;156
Csobád;;;;;;;93;3;21
Csobaj;;;;;;;78;3;72
Csokvaomány;46;3;;;;;46;3;43
Dédestapolcsány;86;3;;;;;86;3;117
Edelény;254;6;218;19;168;15;205;40;46
Emőd;299;16;246;4;;;288;20;45
Encs;219;20;279;8;365;3;249;31;50
Erdőbénye;90;3;;;;;110;4;66
Farkaslyuk;77;4;59;9;;;64;15;63
Felsőnyárád;;;163;4;;;157;6;30
Felsőzsolca;296;25;345;8;;;308;33;40
Forró;151;3;178;3;;;164;6;39
Gesztely;191;9;;;;;215;11;37
Gönc;251;4;;;;;251;4;57
Halmaj;206;6;;;;;192;8;53
Hangony;64;8;;;;;68;9;89
Harsány;279;4;;;;;279;4;67
Hejőkeresztúr;;;;;;;236;3;16
Hercegkút;150;4;;;;;150;4;37
Hernádkak;308;7;;;;;302;8;39
Hernádnémeti;227;10;;;;;219;12;35
Hidasnémeti;340;3;;;;;218;5;101
Hollóháza;;;109;3;;;109;3;25
Igrici;;;;;;;139;3;41
Ináncs;;;184;3;;;184;3;38
Izsófalva;;;;;76;3;68;4;45
Járdánháza;;;66;3;;;73;5;31
Kazincbarcika;346;20;294;107;306;253;305;380;27
Királd;;;62;10;;;57;12;70
Kistokaj;543;13;;;;;534;14;28
Kurityán;;;;;43;4;80;6;87
Lénárddaróc;76;3;;;;;76;3;39
Mád;227;11;;;;;218;13;55
Mályi;440;21;;;;;426;23;40
Megyaszó;67;4;92;4;;;79;8;57
Mezőcsát;167;8;;;;;163;10;48
Mezőkeresztes;186;4;;;;;152;6;50
Mezőkövesd;293;44;398;36;;;341;81;31
Mezőzombor;181;3;;;;;161;4;42
MISKOLC;394;266;409;972;407;1021;407;2259;31
Múcsony;228;4;133;7;136;8;154;19;63
Novajidrány;;;;;;;222;3;10
Nyékládháza;326;22;;;;;325;24;33
Onga;369;9;229;4;;;326;13;41
Ónod;169;3;;;;;169;3;36
Ormosbánya;;;60;4;48;6;50;11;65
Ózd;135;69;134;149;164;132;145;350;47
Pálháza;228;3;;;;;232;4;45
Parasznya;;;;;;;187;3;82
Putnok;105;18;112;34;156;14;120;66;64
Rátka;226;5;;;;;226;5;65
Rudabánya;;;70;3;43;8;48;12;59
Rudolftelep;;;;;85;3;104;5;43
Sajóbábony;;;215;5;196;16;199;22;24
Sajókeresztúr;320;4;;;;;320;4;44
Sajónémeti;;;;;;;50;3;74
Sajóörös;430;6;;;;;430;6;38
Sajószentpéter;313;10;272;29;267;32;275;71;40
Sajószöged;360;10;;;;;339;11;27
Sajóvelezd;145;6;;;;;145;6;26
Sárospatak;293;22;359;31;343;12;334;65;31
Sáta;46;3;;;;;46;3;63
Sátoraljaújhely;230;22;212;95;275;16;223;133;48
Serényfalva;165;3;;;;;135;5;56
Szendrő;25;3;;;;;50;4;104
Szentistván;172;11;;;;;172;11;44
Szerencs;200;40;242;37;;;220;77;48
Szikszó;206;9;310;4;;;246;14;52
Szirmabesenyő;416;9;;;;;402;10;36
Szomolya;276;5;;;;;276;5;45
Taktaharkány;149;5;;;;;154;6;22
Tállya;207;7;;;;;181;9;80
Tarcal;201;11;;;;;186;13;91
Tard;168;5;;;;;168;5;66
Tibolddaróc;166;7;;;;;166;7;64
Tiszaladány;;;131;3;;;120;4;18
Tiszalúc;94;8;59;4;;;82;12;54
Tiszapalkonya;208;8;;;;;208;8;51
Tiszaújváros;402;8;456;108;438;122;445;238;19
Tokaj;268;17;357;9;;;299;27;40
Tolcsva;147;3;;;;;147;3;60
Újcsanálos;96;3;107;3;;;101;6;49
Uppony;60;4;;;;;60;4;62
Vatta;284;3;;;;;284;3;47
Borsod-Abaúj-Zemplén vármegye összesen;261;1184;331;1821;356;1685;322;4690;49
