Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Budapest 01. kerület;;;1274;448;;;1274;448;31
Budapest 02. kerület;1165;66;1282;1240;;;1276;1306;31
Budapest 03. kerület;1071;63;1150;662;876;1112;982;1837;27
Budapest 04. kerület;832;42;886;718;835;816;858;1576;22
Budapest 05. kerület;;;1452;626;;;1452;626;33
Budapest 06. kerület;;;1132;1163;;;1132;1163;31
Budapest 07. kerület;;;1021;1915;;;1021;1915;27
Budapest 08. kerület;1384;5;943;1877;872;95;941;1977;31
Budapest 09. kerület;859;5;1053;1355;896;53;1047;1413;28
Budapest 10. kerület;721;29;816;898;772;467;799;1394;24
Budapest 11. kerület;1228;29;1188;1708;988;718;1130;2455;26
Budapest 12. kerület;1439;12;1247;931;;;1250;945;28
Budapest 13. kerület;1093;27;1114;2236;959;420;1089;2683;25
Budapest 14. kerület;978;88;962;1951;857;547;940;2586;22
Budapest 15. kerület;707;133;813;295;793;749;789;1177;22
Budapest 16. kerület;843;230;905;388;785;37;877;655;27
Budapest 17. kerület;687;285;889;218;792;256;781;759;25
Budapest 18. kerület;672;188;838;513;734;325;775;1026;26
Budapest 19. kerület;650;58;826;358;746;406;774;822;24
Budapest 20. kerület;641;96;739;665;697;100;723;861;26
Budapest 21. kerület;670;97;711;443;707;457;705;997;20
Budapest 22. kerület;872;90;892;302;857;94;882;486;28
Budapest 23. kerület;561;46;676;71;713;25;645;142;33
Budapest összesen;792;1589;1042;20981;837;6679;981;29249;33
