Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Akasztó;171;5;;;;;160;6;49
Apostag;258;9;276;3;;;263;12;55
Bácsalmás;133;28;103;16;;;122;44;85
Bácsbokod;122;4;;;;;113;6;40
Baja;361;126;437;204;426;64;411;394;31
Ballószög;577;18;;;;;577;18;45
Bátmonostor;208;8;;;;;208;8;51
Bátya;187;3;;;;;197;5;33
Bócsa;379;5;;;;;379;5;28
Borota;46;4;;;;;46;4;46
Bugac;291;13;;;;;291;13;43
Császártöltés;32;3;;;;;32;3;52
Csátalja;58;3;;;;;69;4;36
Csávoly;111;14;;;;;111;14;54
Csengőd;154;11;;;;;154;11;53
Csikéria;120;3;;;;;120;3;44
Dávod;138;18;;;;;136;19;77
Dunaegyháza;253;3;;;;;240;4;62
Dunafalva;220;4;;;;;220;4;43
Dunapataj;226;6;;;;;226;6;50
Dunavecse;216;20;318;7;;;247;28;51
Dusnok;290;3;;;;;311;4;41
Érsekcsanád;205;14;;;;;213;16;40
Felsőszentiván;151;9;;;;;148;10;91
Foktő;258;4;;;;;258;4;49
Fülöpszállás;92;6;;;;;92;6;52
Gara;154;8;;;;;148;9;59
Hajós;169;8;;;;;188;10;49
Harkakötöny;314;3;;;;;271;4;76
Harta;174;13;;;;;193;15;55
Helvécia;460;9;590;5;;;506;14;33
Hercegszántó;70;17;;;;;70;17;57
Izsák;351;10;220;9;;;289;19;60
Jakabszállás;250;4;;;;;263;6;27
Jánoshalma;95;29;195;10;;;121;39;54
Jászszentlászló;284;7;;;;;284;7;45
Kalocsa;330;31;388;85;364;27;371;143;27
Kaskantyú;213;3;;;;;213;3;82
Katymár;51;17;;;;;51;17;46
Kecel;202;5;;;;;218;6;37
KECSKEMÉT;517;162;620;672;547;323;586;1157;28
Kelebia;;;;;;;95;4;109
Kerekegyháza;370;22;;;;;377;23;44
Kiskőrös;315;25;466;41;408;12;409;78;36
Kiskunfélegyháza;387;62;464;136;413;47;435;245;25
Kiskunhalas;328;60;379;110;365;53;362;223;26
Kiskunmajsa;250;16;239;10;372;3;259;29;51
Kömpöc;158;3;;;;;158;3;80
Kunadacs;;;;;;;261;3;43
Kunbaja;87;5;;;;;87;5;50
Kunfehértó;253;12;;;;;247;14;36
Kunpeszér;244;3;;;;;244;3;46
Kunszállás;466;8;;;;;466;8;38
Kunszentmiklós;290;15;344;12;;;315;28;38
Lajosmizse;452;25;605;9;;;495;35;32
Lakitelek;321;9;;;;;325;10;31
Madaras;65;14;;;;;65;14;71
Mélykút;87;18;;;;;90;19;53
Móricgát;350;5;;;;;349;6;58
Nagybaracska;102;9;69;3;;;94;12;67
Nemesnádudvar;99;6;;;;;99;6;64
Öregcsertő;;;;;;;48;3;101
Petőfiszállás;299;4;;;;;299;4;61
Rém;49;7;;;;;49;7;62
Solt;296;22;249;4;;;289;26;71
Soltszentimre;150;5;;;;;150;5;17
Soltvadkert;276;12;294;10;;;285;22;43
Sükösd;121;13;189;5;;;140;18;64
Szabadszállás;231;12;285;21;280;3;267;36;35
Szalkszentmárton;290;4;;;;;290;4;49
Szank;215;10;;;;;212;11;37
Szentkirály;440;4;;;;;440;4;30
Szeremle;121;9;;;;;111;11;79
Tass;311;11;189;4;;;278;15;80
Tataháza;83;9;;;;;83;9;35
Tiszaalpár;202;9;;;;;210;10;65
Tiszakécske;298;38;474;10;;;334;48;52
Tiszaug;387;3;;;;;387;3;122
Tompa;97;12;101;3;;;97;15;69
Városföld;509;8;;;;;505;10;27
Vaskút;189;17;;;;;189;17;45
Zsana;191;3;;;;;191;3;67
Bács-Kiskun vármegye összesen;294;1236;499;1428;487;535;418;3199;50
