Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Battonya;;;;;134;7;138;11;26
Békés;231;44;281;44;292;9;259;97;35
BÉKÉSCSABA;352;92;386;130;381;408;377;630;33
Békéssámson;96;4;;;;;111;5;43
Békésszentandrás;236;15;;;;;236;15;67
Bucsa;131;5;;;;;131;5;33
Csorvás;150;12;;;;;150;12;51
Dévaványa;159;11;;;;;158;12;31
Doboz;132;13;;;;;132;13;42
Elek;145;18;106;4;;;149;23;55
Füzesgyarmat;174;19;241;3;;;183;22;57
Gádoros;99;10;;;;;99;10;67
Gerendás;109;4;;;;;109;4;24
Gyomaendrőd;171;43;226;12;437;19;248;74;166
Gyula;363;70;403;61;399;145;391;276;42
Kamut;178;3;;;;;178;4;22
Kardos;124;4;;;;;124;4;30
Kaszaper;81;6;;;;;108;7;83
Kétegyháza;144;7;76;4;;;119;11;55
Kondoros;181;12;194;3;;;184;15;53
Körösladány;130;10;140;3;;;133;13;67
Köröstarcsa;98;7;;;;;96;8;44
Kunágota;83;6;;;;;83;6;72
Lőkösháza;;;126;3;;;126;3;17
Medgyesegyháza;144;6;;;;;128;8;64
Méhkerék;129;8;;;;;129;8;37
Mezőberény;233;9;209;14;288;7;235;30;56
Mezőhegyes;120;5;69;26;151;25;110;56;62
Mezőkovácsháza;132;12;;;201;10;163;22;35
Murony;138;6;;;;;138;6;49
Nagyszénás;168;12;;;178;5;171;17;44
Okány;103;4;;;;;103;4;69
Orosháza;230;29;309;42;288;150;284;221;34
Pusztaföldvár;107;4;;;;;107;4;34
Sarkad;150;26;161;8;;;151;35;49
Sarkadkeresztúr;91;4;;;;;74;6;46
Szabadkígyós;173;8;;;;;146;10;62
Szarvas;256;25;323;31;329;22;303;78;42
Szeghalom;222;15;289;34;274;4;269;53;34
Telekgerendás;212;4;;;;;212;4;21
Tótkomlós;128;5;175;4;;;147;10;61
Újkígyós;175;22;;;;;174;24;45
Vésztő;154;13;203;3;;;163;18;65
Békés vármegye összesen;215;665;303;444;350;817;292;1926;58
