Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Algyő;444;24;478;5;;;457;31;41
Ambrózfalva;31;4;;;;;27;6;73
Apátfalva;104;19;;;;;106;21;61
Ásotthalom;231;13;;;;;231;13;52
Baks;135;4;;;;;135;4;54
Balástya;339;3;;;;;339;3;18
Bordány;328;15;;;;;328;15;17
Csanádpalota;86;16;;;;;86;16;87
Csanytelek;100;9;;;;;100;9;82
Csengele;226;5;;;;;226;5;24
Csongrád;216;34;335;41;324;16;289;91;45
Derekegyház;149;9;;;;;149;9;46
Deszk;454;34;;;;;453;35;32
Domaszék;332;16;;;;;336;17;49
Fábiánsebestyén;148;3;;;;;153;5;40
Felgyő;241;5;;;;;254;6;25
Ferencszállás;225;6;;;;;225;6;54
Forráskút;266;7;;;;;266;7;49
Földeák;135;28;;;;;136;29;62
Hódmezővásárhely;350;68;417;152;436;97;408;317;27
Kistelek;281;15;325;9;;;298;24;44
Kiszombor;224;39;;;;;223;40;48
Klárafalva;228;5;;;;;228;5;46
Kübekháza;299;6;;;;;299;6;19
Magyarcsanád;64;5;;;;;64;5;92
Makó;258;94;355;71;386;30;313;195;45
Maroslele;278;9;;;;;278;9;40
Mártély;268;9;;;;;285;10;35
Mindszent;76;10;336;3;;;156;14;96
Mórahalom;436;19;591;5;;;468;24;39
Nagyér;35;3;;;;;35;3;38
Nagylak;;;;;;;93;4;18
Nagymágocs;149;4;;;;;149;4;57
Óföldeák;114;6;;;;;114;6;65
Ópusztaszer;205;6;;;;;205;6;73
Pitvaros;69;8;;;;;69;8;80
Pusztamérges;152;5;;;;;152;5;55
Röszke;334;19;;;;;334;19;43
Ruzsa;240;8;;;;;240;8;46
Sándorfalva;455;35;486;3;;;458;38;27
Szatymaz;457;15;;;;;412;17;41
SZEGED;633;172;718;1294;619;903;674;2369;25
Szegvár;217;8;;;;;217;8;60
Székkutas;75;3;;;;;153;4;105
Szentes;302;39;380;78;411;28;365;145;32
Tiszasziget;308;18;;;;;308;18;36
Tömörkény;138;4;;;;;138;4;54
Újszentiván;555;10;;;;;510;12;41
Üllés;297;20;;;;;297;20;33
Zákányszék;299;9;;;;;318;10;29
Zsombó;555;10;;;;;539;11;47
Csongrád-Csanád vármegye összesen;345;948;640;1682;586;1077;549;3707;43
