Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Aba;313;14;;;;;321;16;47
Adony;404;11;498;3;;;424;14;49
Alap;187;4;;;;;187;4;53
Alcsútdoboz;;;;;;;437;3;22
Alsószentiván;74;6;;;;;74;6;55
Bakonycsernye;;;;;;;134;4;87
Baracs;370;9;310;3;;;355;12;25
Baracska;393;7;;;;;393;7;20
Besnyő;443;5;;;;;443;5;49
Bicske;546;14;575;16;582;7;565;37;29
Bodajk;;;474;12;;;474;12;28
Cece;132;9;;;;;132;9;65
Csabdi;259;3;;;;;259;3;75
Csákvár;437;10;357;4;;;414;14;48
Dég;71;6;;;;;71;6;25
Dunaújváros;418;12;440;412;401;428;420;852;22
Előszállás;131;10;;;;;139;11;51
Enying;270;20;227;3;;;264;23;44
Ercsi;317;26;360;18;391;8;343;52;44
Etyek;645;7;783;9;;;723;16;31
Felcsút;;;568;3;;;568;3;65
Gárdony;636;55;823;49;752;8;726;112;30
Gyúró;228;3;;;;;228;3;58
Hantos;152;4;;;;;152;4;52
Igar;47;6;;;;;47;6;65
Iszkaszentgyörgy;;;;;;;438;4;53
Isztimér;298;3;;;;;298;3;40
Iváncsa;385;8;;;;;385;8;48
Jenő;366;4;;;;;366;4;27
Kajászó;601;6;;;;;608;7;33
Káloz;60;3;;;;;60;3;70
Kápolnásnyék;718;11;892;4;;;764;15;24
Kincsesbánya;;;460;5;453;6;456;11;10
Kisapostag;444;3;;;;;444;3;59
Kisláng;143;7;;;;;143;7;76
Kőszárhegy;381;5;;;;;381;5;14
Kulcs;495;8;;;;;523;10;33
Lajoskomárom;261;4;;;;;264;5;47
Lepsény;453;3;;;440;5;445;8;14
Lovasberény;;;379;3;;;362;5;19
Mány;263;6;;;;;276;8;57
Martonvásár;528;12;902;16;;;742;28;38
Mezőfalva;178;14;;;;;194;15;52
Mezőkomárom;66;3;;;;;66;3;91
Mezőszentgyörgy;233;4;;;;;233;4;50
Mezőszilas;127;4;;;;;127;4;23
Mór;342;5;555;19;561;35;540;59;28
Nadap;;;;;;;725;4;19
Nagykarácsony;128;6;;;;;128;6;46
Nagyvenyim;380;10;;;;;383;12;43
Óbarok;323;3;;;;;323;3;68
Pákozd;582;15;891;9;;;698;24;42
Pázmánd;477;6;;;;;477;6;40
Perkáta;202;19;;;;;202;19;55
Polgárdi;363;16;555;5;566;6;444;27;48
Pusztaszabolcs;409;16;384;8;;;402;26;26
Pusztavám;87;6;;;;;87;6;75
Rácalmás;366;19;;;;;365;20;50
Ráckeresztúr;624;7;;;;;624;7;21
Sárbogárd;224;19;394;5;409;10;303;34;53
Sárkeresztúr;111;5;;;;;111;5;109
Sárosd;198;8;;;;;198;8;52
Sárszentmihály;337;8;;;;;337;8;98
Seregélyes;256;6;313;4;;;279;10;60
Soponya;313;4;;;;;313;4;9
Sukoró;645;7;;;;;640;8;31
Szabadbattyán;576;6;;;;;576;6;20
Szabadegyháza;340;13;;;;;339;14;45
Szabadhídvég;89;5;;;;;89;5;47
SZÉKESFEHÉRVÁR;649;51;696;496;650;541;671;1088;22
Tác;466;7;;;;;466;7;44
Tordas;617;4;;;;;663;6;24
Úrhida;726;5;;;;;706;6;28
Vál;425;7;;;;;426;8;44
Velence;717;28;791;19;;;746;48;32
Vereb;277;4;;;;;277;4;44
Vértesacsa;241;8;;;;;241;8;32
Vértesboglár;;;;;;;439;3;26
Zámoly;373;4;;;;;373;4;86
Fejér vármegye összesen;407;720;588;1154;539;1057;526;2931;41
