Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Abda;559;4;389;4;;;474;8;45
Ágfalva;;;869;3;;;834;5;11
Ásványráró;234;7;;;;;234;7;51
Babót;223;5;;;;;223;5;189
Bakonyszentlászló;280;6;;;;;317;8;53
Bezenye;;;622;4;;;504;6;69
Bőny;;;;;;;136;3;47
Csorna;260;9;563;36;;;502;45;35
Écs;579;4;;;;;497;5;75
Enese;;;;;;;485;4;69
Fertőd;338;3;559;24;;;535;27;39
Fertőrákos;626;3;567;3;;;597;6;17
Fertőszentmiklós;496;5;572;5;;;534;10;29
Gönyű;466;6;;;;;453;8;49
GYŐR;481;74;786;893;629;591;712;1558;28
Győrladamér;648;5;;;;;652;6;17
Győrszemere;560;6;;;;;584;7;24
Győrújbarát;649;18;913;24;;;800;42;25
Győrújfalu;909;3;836;12;;;850;15;20
Győrzámoly;712;7;887;3;;;764;10;31
Harka;681;10;;;;;704;12;39
Hegyeshalom;517;3;725;10;;;677;13;33
Hegykő;494;4;1068;10;;;904;14;49
Himod;184;4;;;;;184;4;89
Hövej;386;6;;;;;386;6;134
Ikrény;560;3;;;;;517;4;28
Jánossomorja;258;8;476;4;;;331;12;55
Kajárpéc;240;5;;;;;240;5;118
Kapuvár;293;18;520;36;;;445;54;44
Kóny;374;5;;;;;324;7;63
Kópháza;236;5;;;;;417;7;81
Koroncó;403;3;;;;;403;3;39
Lébény;291;5;;;;;335;7;42
Levél;728;5;827;3;;;766;8;27
Lipót;601;4;;;;;601;4;25
Máriakálnok;516;7;;;;;516;7;36
Mosonmagyaróvár;523;34;667;276;584;86;637;396;33
Mosonszentmiklós;448;3;;;;;448;3;40
Nagycenk;821;5;661;5;;;741;10;15
Nagyszentjános;;;686;10;;;665;12;32
Nyúl;455;16;;;;;464;17;41
Öttevény;414;3;532;3;;;473;6;46
Pannonhalma;439;3;554;3;;;497;6;66
Pér;435;5;;;;;435;5;78
Petőháza;;;;;;;613;4;31
Rábapatona;438;4;;;;;438;4;36
Rajka;625;7;697;35;;;685;42;34
Sopron;561;42;743;607;683;87;726;736;28
Sopronkövesd;471;4;;;;;550;6;53
Szany;109;3;;;;;109;3;43
Szárföld;272;3;;;;;353;4;80
Táp;;;;;;;340;3;103
Tápszentmiklós;;;;;;;269;3;77
Tét;327;7;;;;;327;7;78
Töltéstava;533;7;;;;;533;7;32
Vámosszabadi;823;9;940;50;;;922;59;14
Várbalog;488;3;;;;;488;3;47
Győr-Moson-Sopron vármegye összesen;458;503;743;2105;630;764;675;3372;35
