Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Bagamér;150;3;;;;;150;3;45
Balmazújváros;409;29;649;21;521;6;511;56;37
Báránd;157;6;;;;;157;6;41
Berekböszörmény;82;4;;;;;82;4;149
Berettyóújfalu;334;39;425;14;427;41;388;94;30
Biharkeresztes;;;204;3;;;268;5;66
Biharnagybajom;47;3;;;;;47;3;68
Bocskaikert;599;14;799;3;;;634;17;32
DEBRECEN;715;312;838;1240;752;910;791;2462;24
Derecske;378;14;527;7;;;428;21;31
Ebes;532;10;;;;;532;10;21
Egyek;90;10;;;;;90;10;73
Földes;173;3;;;;;173;3;79
Furta;136;5;;;;;136;5;79
Görbeháza;246;4;;;;;246;4;43
Hajdúbagos;195;3;;;;;195;3;51
Hajdúböszörmény;381;51;624;71;546;42;528;164;33
Hajdúdorog;250;7;408;3;;;298;10;41
Hajdúhadház;226;21;;;;;248;24;52
Hajdúnánás;311;26;403;33;435;28;386;87;29
Hajdúsámson;449;38;486;13;;;458;51;47
Hajdúszoboszló;490;47;700;161;619;41;647;249;28
Hajdúszovát;199;5;;;;;199;5;58
Hosszúpályi;237;13;;;;;237;13;70
Kaba;205;6;;;;;241;8;59
Komádi;90;3;;;;;101;5;92
Létavértes;198;8;;;;;220;9;70
Mezősas;23;3;;;;;23;3;31
Mikepércs;578;15;629;3;;;586;18;25
Nádudvar;269;7;371;4;;;306;11;40
Nagyhegyes;383;5;;;;;383;5;32
Nagykereki;28;3;;;;;28;3;71
Nyírábrány;183;5;;;;;172;6;74
Nyíradony;270;9;;;;;270;9;37
Pocsaj;82;3;;;;;82;3;125
Polgár;183;17;373;4;;;228;22;53
Püspökladány;213;19;392;21;408;6;320;46;45
Sáránd;488;4;;;;;437;5;49
Sárrétudvari;216;4;;;;;216;4;54
Téglás;413;13;532;16;;;478;29;39
Tiszacsege;130;12;;;;;130;12;42
Vámospércs;366;6;398;7;;;383;13;35
Hajdú-Bihar vármegye összesen;467;844;778;1632;714;1078;685;3554;38
