Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Abasár;225;16;;;;;223;17;52
Adács;148;18;;;;;148;18;69
Andornaktálya;472;13;;;;;478;15;31
Apc;214;12;;;;;214;12;50
Átány;116;4;;;;;116;4;40
Atkár;190;17;;;;;190;17;46
Bélapátfalva;;;335;9;;;303;11;40
Besenyőtelek;205;7;;;;;205;7;53
Boconád;75;3;;;;;75;3;61
Bodony;377;7;;;;;377;7;37
Boldog;212;7;;;;;212;7;63
Bükkszék;;;;;;;366;3;22
Bükkszenterzsébet;52;4;;;;;52;4;72
Csány;158;6;;;;;150;7;44
Demjén;552;4;;;;;552;4;62
Detk;108;3;;;;;108;3;17
Domoszló;186;16;;;;;186;16;47
Ecséd;203;13;;;;;203;13;51
EGER;486;94;594;601;495;95;569;790;32
Egercsehi;100;4;198;3;;;142;7;63
Egerfarmos;95;5;;;;;95;5;74
Egerszalók;516;10;869;6;;;649;16;56
Erdőtelek;102;18;;;;;102;18;70
Erk;72;3;;;;;84;4;72
Feldebrő;132;6;;;;;133;7;20
Felsőtárkány;407;14;551;5;;;445;19;45
Füzesabony;234;27;441;7;320;6;283;40;48
Gyöngyös;331;47;442;275;436;58;427;380;31
Gyöngyöshalász;401;12;;;;;401;12;30
Gyöngyösoroszi;110;12;;;;;122;13;78
Gyöngyöspata;147;11;;;;;141;13;47
Gyöngyössolymos;273;13;;;;;273;13;50
Gyöngyöstarján;215;8;;;;;226;9;34
Halmajugra;75;10;;;;;75;10;48
Hatvan;350;50;536;79;498;33;471;162;40
Heréd;253;7;51;3;;;192;10;75
Heves;164;21;295;14;411;4;237;39;49
Hort;261;11;377;3;;;286;14;41
Istenmezeje;145;3;;;;;145;3;117
Kál;126;18;;;;;140;20;81
Karácsond;148;11;;;;;148;11;53
Kerecsend;102;3;;;;;102;3;30
Kisköre;131;6;206;3;;;156;9;73
Kisnána;66;8;;;;;66;8;69
Kompolt;128;5;;;;;128;5;106
Kömlő;36;3;;;;;32;4;58
Lőrinci;244;24;293;29;;;271;53;43
Ludas;61;4;;;;;61;4;34
Maklár;378;16;;;;;378;16;48
Markaz;254;10;;;;;254;10;42
Mátraderecske;163;6;142;5;;;154;11;44
Mátraszentimre;366;7;;;;;366;7;42
Mezőszemere;63;12;;;;;63;12;54
Mezőtárkány;84;6;;;;;81;7;32
Nagyfüged;52;9;;;;;52;9;52
Nagyréde;281;18;;;;;286;19;40
Nagytálya;462;6;;;;;462;6;42
Nagyút;69;7;;;;;69;7;48
Nagyvisnyó;93;3;;;;;93;3;80
Noszvaj;548;11;;;;;555;12;36
Novaj;336;3;;;;;336;3;27
Ostoros;460;10;590;3;;;490;13;43
Pálosvörösmart;289;5;;;;;289;5;26
Parád;245;9;;;;;245;9;45
Pély;56;5;;;;;56;5;76
Pétervására;;;;;;;103;3;78
Petőfibánya;;;313;51;;;313;51;29
Poroszló;211;12;;;;;211;12;44
Recsk;150;12;137;7;;;145;19;43
Rózsaszentmárton;215;11;;;;;211;12;41
Sarud;414;4;;;;;414;4;53
Sirok;231;5;314;7;;;279;12;50
Szajla;86;3;;;;;86;3;33
Szihalom;139;18;;;;;139;18;83
Szilvásvárad;373;13;;;;;373;13;64
Szűcsi;237;4;;;;;251;5;40
Tarnalelesz;107;5;;;;;107;5;71
Tarnaméra;73;7;;;;;73;7;47
Tarnaörs;30;4;;;;;30;4;51
Tarnaszentmiklós;;;;;;;40;3;76
Tarnazsadány;;;;;;;79;4;27
Tenk;176;5;;;;;176;5;46
Tiszanána;109;9;;;;;109;9;48
Tófalu;65;3;;;;;65;3;135
Újlőrincfalva;157;3;;;;;157;3;79
Vámosgyörk;154;4;;;;;182;6;38
Vécs;90;5;;;;;90;5;61
Verpelét;158;19;218;13;;;182;32;41
Visonta;198;8;;;;;198;8;46
Visznek;97;8;;;;;97;8;61
Zagyvaszántó;309;4;144;3;;;238;7;65
Zaránk;61;7;;;;;61;7;29
Heves vármegye összesen;248;972;504;1153;471;196;394;2321;58
