Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Abádszalók;226;17;;;;;226;17;26
Alattyán;162;3;;;;;162;3;6
Berekfürdő;195;9;345;3;;;232;12;33
Besenyszög;253;15;;;;;251;16;62
Cibakháza;153;9;;;;;153;9;52
Cserkeszőlő;251;12;653;6;;;385;18;57
Fegyvernek;185;9;240;5;;;205;14;39
Jászalsószentgyörgy;206;8;;;;;206;8;22
Jászapáti;157;18;176;4;;;160;22;56
Jászárokszállás;221;12;353;8;;;274;20;45
Jászberény;278;63;511;80;488;23;419;166;49
Jászboldogháza;244;5;;;;;244;5;20
Jászdózsa;150;7;;;;;150;7;68
Jászfelsőszentgyörgy;218;4;;;;;218;4;5
Jászfényszaru;276;11;;;;;298;12;44
Jászjákóhalma;177;8;;;;;160;9;54
Jászkisér;155;6;;;;;165;8;38
Jászszentandrás;;;;;;;245;3;54
Karcag;218;31;318;20;322;17;273;68;39
Kenderes;165;8;;;;;165;8;32
Kisújszállás;234;17;295;19;;;272;38;33
Kőtelek;38;3;;;;;38;3;66
Kunhegyes;175;8;92;6;;;139;14;64
Kunszentmárton;150;24;220;31;;;190;55;48
Martfű;318;7;340;32;340;10;337;49;23
Mezőtúr;177;50;295;43;316;10;239;103;42
Nagykörű;175;11;;;;;175;11;55
Öcsöd;33;6;;;;;43;7;94
Pusztamonostor;274;4;;;;;274;4;15
Rákóczifalva;307;14;292;4;;;304;18;25
Rákócziújfalu;;;202;5;;;202;5;35
Szajol;294;6;;;;;289;7;46
Szászberek;279;4;;;;;279;4;25
SZOLNOK;457;75;443;549;396;318;428;942;28
Tiszaföldvár;155;22;224;4;;;166;26;57
Tiszafüred;290;30;469;22;362;8;365;60;47
Tiszajenő;252;3;;;;;252;3;21
Tiszaörs;124;3;;;;;124;3;36
Tiszapüspöki;155;3;;;;;155;3;22
Tiszasüly;91;3;;;;;91;3;34
Tiszatenyő;185;7;;;;;177;8;38
Tiszavárkony;233;5;;;;;233;5;35
Tószeg;294;25;;;;;294;25;32
Törökszentmiklós;215;42;313;36;322;12;269;90;36
Túrkeve;175;19;207;24;;;192;44;32
Újszász;253;20;;;;;256;22;29
Vezseny;92;4;;;;;92;4;105
Zagyvarékas;198;14;;;;;198;14;33
Jász-Nagykun-Szolnok vármegye összesen;240;710;403;915;391;401;344;2026;46
