Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Ács;318;8;600;3;;;395;11;55
Almásfüzitő;;;388;14;462;9;417;23;26
Bábolna;;;482;8;;;466;9;21
Baj;;;561;11;;;499;15;32
Bajna;155;4;;;;;155;4;47
Bakonysárkány;174;4;;;;;174;4;102
Bakonyszombathely;245;8;;;;;245;8;29
Bokod;379;4;430;4;;;405;8;32
Csolnok;147;4;;;;;147;4;92
Dorog;371;11;568;52;522;62;528;125;25
Dömös;134;6;;;;;134;6;64
Dunaalmás;;;796;3;;;489;5;91
Dunaszentmiklós;;;;;;;158;3;80
Esztergom;261;42;581;161;584;62;531;265;37
Kesztölc;136;5;;;;;136;5;54
Kisbér;329;9;488;7;;;404;17;33
Komárom;403;22;524;88;533;37;508;147;29
Környe;257;14;446;3;;;290;17;101
Lábatlan;;;391;24;387;11;389;36;30
Leányvár;361;3;;;;;361;3;68
Nagysáp;59;3;;;;;59;3;12
Nyergesújfalu;420;6;442;50;377;4;435;60;28
Oroszlány;332;7;418;198;415;56;415;261;20
Piliscsév;218;10;;;;;218;10;127
Pilismarót;79;5;;;;;79;5;137
Sárisáp;;;;;;;499;4;36
Szomód;226;3;;;;;226;3;75
Tardos;169;6;;;;;169;6;66
Tát;269;4;426;17;;;396;21;35
Tata;640;17;690;128;695;13;685;158;31
TATABÁNYA;496;42;534;644;505;310;523;996;24
Tokod;101;8;331;8;416;3;247;19;62
Tokodaltáró;166;25;423;3;;;193;28;72
Vértesszőlős;486;4;;;;;460;5;59
Komárom-Esztergom vármegye összesen;300;327;527;1434;509;570;491;2331;36
