Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Alsópetény;311;5;;;;;311;5;46
Alsótold;226;3;;;;;226;3;23
Balassagyarmat;320;41;385;49;400;43;370;133;31
Bánk;401;5;;;;;401;5;31
Bárna;86;13;63;4;;;81;17;60
Bátonyterenye;143;60;172;48;188;37;164;145;46
Becske;247;8;;;;;247;8;62
Bér;225;4;;;;;225;4;104
Bercel;181;9;;;;;184;10;68
Borsosberény;221;7;;;;;221;7;77
Buják;128;11;;;;;132;12;84
Cered;87;12;;;;;87;12;29
Csécse;159;8;;;;;159;8;51
Cserháthaláp;83;4;;;;;83;4;89
Cserhátsurány;176;8;;;;;176;8;38
Cserhátszentiván;350;5;;;;;350;5;89
Csesztve;76;4;;;;;76;4;107
Csitár;82;3;;;;;82;3;5
Dejtár;145;5;;;;;145;5;64
Diósjenő;312;19;443;4;;;335;23;45
Dorogháza;112;11;;;;;114;12;71
Drégelypalánk;176;12;;;;;176;12;55
Ecseg;78;8;89;3;;;81;11;72
Egyházasgerge;76;12;;;;;76;12;77
Endrefalva;81;9;;;;;81;9;39
Erdőkürt;182;6;;;;;182;6;58
Erdőtarcsa;159;9;;;;;159;9;49
Érsekvadkert;198;22;;;;;192;23;43
Etes;80;14;;;;;80;14;60
Felsőpetény;275;6;;;;;264;7;36
Felsőtold;256;4;;;;;256;4;24
Galgaguta;112;4;;;;;112;4;42
Héhalom;118;4;;;;;118;4;52
Herencsény;105;9;;;;;105;9;79
Hollókő;399;4;;;;;399;4;60
Hont;134;8;;;;;134;8;39
Hugyag;73;9;;;;;73;9;65
Ipolytarnóc;136;3;;;;;136;3;42
Ipolyvece;166;5;;;;;166;5;43
Jobbágyi;151;19;156;3;219;11;174;33;48
Kálló;121;14;;;;;127;15;44
Karancsalja;144;16;;;;;141;18;43
Karancsberény;96;8;;;;;95;9;58
Karancskeszi;109;16;;;;;109;16;60
Karancslapujtő;101;25;;;;;97;27;52
Karancsság;62;6;;;;;65;8;59
Kazár;116;13;;;;;113;14;58
Kétbodony;307;9;;;;;298;11;70
Kisbágyon;165;7;;;;;170;8;52
Kisecset;247;6;;;;;247;6;52
Kishartyán;84;5;;;;;82;6;54
Kozárd;211;3;;;;;211;3;33
Legénd;221;8;;;;;221;8;38
Litke;80;4;;;;;80;4;31
Ludányhalászi;105;13;;;;;105;14;48
Magyargéc;170;3;;;;;170;3;37
Magyarnándor;142;7;;;;;142;7;75
Mátramindszent;68;13;;;;;71;14;54
Mátranovák;81;21;;;;;82;22;55
Mátraszele;66;5;;;;;89;7;52
Mátraszőlős;181;11;;;;;181;11;58
Mátraterenye;142;17;;;;;146;18;58
Mátraverebély;82;14;;;;;82;15;70
Mihálygerge;120;9;;;;;120;9;50
Mohora;141;8;;;;;145;9;69
Nagybárkány;80;5;;;;;80;5;60
Nagylóc;96;12;;;;;96;12;99
Nagyoroszi;221;17;298;7;;;244;24;56
Nemti;122;6;;;;;122;6;53
Nézsa;237;15;;;;;237;15;38
Nógrád;335;15;;;;;335;16;46
Nógrádkövesd;273;4;;;;;247;5;36
Nógrádmarcal;93;4;;;;;93;4;97
Nógrádmegyer;60;12;;;;;57;13;39
Nógrádsáp;252;10;;;;;252;10;29
Nógrádsipek;134;6;;;;;134;6;77
Nógrádszakál;80;4;;;;;80;4;60
Nőtincs;302;16;;;;;302;16;43
Őrhalom;153;8;;;;;153;8;38
Ősagárd;145;6;;;;;145;6;51
Palotás;246;11;;;;;246;13;40
Pásztó;261;47;416;17;405;7;313;71;49
Patak;126;4;;;;;126;4;31
Patvarc;347;3;;;;;359;4;11
Pusztaberki;342;6;;;;;342;6;46
Rákóczibánya;68;9;;;;;68;9;94
Rétság;383;15;440;17;465;7;422;39;27
Rimóc;102;22;;;;;102;22;63
Romhány;204;23;345;5;;;229;28;50
Ságújfalu;90;10;;;;;90;10;39
SALGÓTARJÁN;175;97;225;299;240;122;219;518;47
Sámsonháza;101;6;;;;;101;6;39
Somoskőújfalu;145;23;97;3;;;139;26;71
Sóshartyán;62;7;;;;;62;7;64
Szalmatercs;72;5;;;;;72;5;50
Szanda;226;8;;;;;226;9;66
Szátok;71;4;;;;;71;4;143
Szécsény;204;36;321;6;280;13;235;55;44
Szécsényfelfalu;116;4;;;;;116;4;67
Szendehely;430;7;;;;;430;7;71
Szente;151;4;;;;;151;4;122
Szilaspogony;40;8;;;;;40;8;55
Szirák;49;10;;;;;57;12;78
Szuha;166;6;;;;;166;6;97
Szurdokpüspöki;190;11;;;;;190;11;55
Szügy;301;5;;;;;285;6;45
Tar;145;18;;;;;148;19;54
Terény;224;3;;;;;224;3;42
Tereske;279;3;;;;;279;3;70
Tolmács;388;7;;;;;388;7;41
Vanyarc;228;6;;;;;228;6;81
Varsány;178;9;;;;;175;10;41
Vizslás;122;17;;;;;124;18;49
Zabar;73;4;;;;;77;5;36
Nógrád vármegye összesen;173;1294;245;504;272;241;203;2039;66
