Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Abony;247;25;361;5;;;266;30;48
Albertirsa;409;20;749;19;;;574;39;48
Alsónémedi;544;13;645;3;;;563;16;33
Áporka;;;;;;;623;3;29
Aszód;452;8;568;46;;;548;56;35
Bag;246;6;;;;;246;6;56
Bénye;462;6;;;;;513;7;29
Biatorbágy;913;8;1059;69;;;1044;77;17
Budajenő;859;5;;;;;879;6;23
Budakalász;880;9;972;17;;;940;26;33
Budakeszi;764;6;927;44;910;3;907;53;31
Budaörs;843;25;1112;69;924;65;993;159;30
Bugyi;429;7;500;3;;;450;10;28
Cegléd;349;41;509;145;537;56;488;242;32
Ceglédbercel;333;4;;;;;333;4;36
Csemő;145;7;;;;;145;7;73
Csévharaszt;569;4;;;;;550;5;36
Csomád;500;6;691;4;;;577;10;46
Csömör;863;17;749;13;;;814;30;38
Csörög;484;5;;;;;484;5;40
Dabas;438;23;675;15;650;5;545;43;34
Dánszentmiklós;580;4;;;;;580;4;42
Dány;279;8;;;;;279;8;57
Délegyháza;605;7;776;21;;;733;28;24
Diósd;1062;9;846;38;;;887;47;30
Dömsöd;255;3;;;;;297;4;37
Dunabogdány;383;8;;;;;430;9;49
Dunaharaszti;576;32;915;94;;;829;126;30
Dunakeszi;901;38;964;387;742;124;909;549;24
Dunavarsány;443;11;797;24;;;686;35;33
Ecser;837;3;449;3;659;3;648;9;40
Érd;702;77;857;162;740;32;799;271;27
Erdőkertes;631;21;;;;;641;23;26
Farmos;181;3;;;;;181;3;47
Felsőpakony;636;4;659;3;;;646;7;29
Fót;600;23;851;64;;;784;87;31
Galgahévíz;262;7;;;;;262;7;52
Galgamácsa;431;3;452;8;;;446;11;33
Gomba;530;5;;;;;530;5;46
Göd;753;34;838;60;;;807;94;30
Gödöllő;643;28;746;156;685;16;727;200;24
Gyál;627;25;753;7;;;655;32;38
Gyömrő;679;21;867;141;;;843;162;20
Halásztelek;512;11;729;75;;;701;86;26
Herceghalom;746;5;957;18;;;911;23;23
Hernád;419;12;;;;;384;14;50
Iklad;;;;;;;455;3;52
Inárcs;328;3;;;;;328;3;47
Isaszeg;784;7;559;9;;;658;16;52
Jászkarajenő;69;7;;;;;69;7;64
Kakucs;439;6;658;3;;;512;9;53
Kartal;399;4;637;5;;;531;9;28
Kemence;472;3;;;;;472;3;16
Kerepes;569;10;844;23;;;761;33;28
Kiskunlacháza;264;21;623;28;;;469;49;51
Kismaros;857;3;;;;;857;3;35
Kistarcsa;604;14;804;42;696;14;743;70;31
Kocsér;122;3;;;;;122;3;77
Kóka;300;8;;;;;317;9;49
Kosd;394;3;;;;;394;3;72
Leányfalu;941;9;;;;;941;9;17
Maglód;617;14;757;15;;;690;29;33
Majosháza;;;519;3;;;519;3;6
Mende;575;8;732;5;;;635;13;32
Mogyoród;603;4;;;;;593;5;42
Monor;468;9;744;50;;;702;59;28
Monorierdő;462;11;672;5;;;528;16;44
Nagybörzsöny;302;6;;;;;302;6;99
Nagykáta;257;12;559;15;575;4;444;31;48
Nagykovácsi;1153;16;973;9;;;1088;25;36
Nagykőrös;225;28;398;36;415;44;360;108;37
Nagymaros;469;9;610;3;;;504;12;49
Nagytarcsa;759;7;837;30;;;814;38;21
Nyársapát;234;3;;;;;234;3;10
Ócsa;426;8;592;9;;;514;17;34
Őrbottyán;633;19;623;11;;;630;30;29
Örkény;315;5;280;3;;;302;8;27
Pánd;255;4;;;;;255;4;110
Páty;549;10;1006;11;;;788;21;52
Pécel;700;13;791;36;;;767;49;33
Perbál;;;;;;;540;3;6
Perőcsény;203;4;;;;;203;4;44
Péteri;559;6;670;3;;;596;9;30
Pilis;354;17;699;4;;;420;21;50
Piliscsaba;756;10;866;29;;;838;39;30
Pilisjászfalu;;;;;;;996;3;12
Pilisvörösvár;756;14;943;9;;;829;23;33
Pilisszentiván;;;718;5;;;728;9;23
Pilisszentkereszt;352;3;;;;;475;5;60
Pócsmegyer;685;4;;;;;685;4;26
Pomáz;645;26;908;35;790;3;795;64;37
Pusztavacs;;;;;;;360;3;15
Pusztazámor;237;3;;;;;237;3;133
Ráckeve;456;12;569;22;443;4;520;38;30
Remeteszőlős;1384;3;1150;4;;;1250;7;38
Solymár;1083;10;825;22;;;908;34;35
Sóskút;398;5;;;;;544;7;57
Sülysáp;418;21;536;3;;;433;24;48
Szada;757;10;656;4;;;728;14;45
Százhalombatta;777;11;742;76;672;109;705;196;18
Szentendre;910;30;896;102;791;43;873;175;26
Szentlőrinckáta;206;4;;;;;206;4;36
Szentmártonkáta;111;5;;;;;111;5;76
Szigetcsép;427;5;;;;;457;6;87
Szigethalom;609;27;597;56;;;601;83;32
Szigetmonostor;733;6;;;;;696;7;30
Szigetszentmárton;;;648;6;;;626;7;26
Szigetszentmiklós;598;43;738;309;636;40;712;392;24
Szigetújfalu;193;3;641;5;;;473;8;52
Szob;249;3;;;;;356;4;80
Szokolya;455;10;;;;;455;10;53
Sződ;568;7;;;;;608;8;51
