Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Balatonberény;502;5;;;;;502;5;28
Balatonboglár;1164;5;904;19;;;958;24;58
Balatonfenyves;745;13;865;11;;;800;24;39
Balatonföldvár;770;3;820;7;;;790;11;28
Balatonkeresztúr;532;7;;;;;549;9;34
Balatonlelle;987;5;1386;39;;;1341;44;36
Balatonmáriafürdő;;;907;4;;;728;6;39
Balatonszárszó;533;4;;;;;533;4;54
Balatonszemes;;;1275;5;;;1129;6;35
Balatonszentgyörgy;343;6;;;;;343;6;39
Balatonvilágos;;;854;3;;;908;4;13
Barcs;196;9;242;61;;;236;71;33
Bárdudvarnok;235;5;;;;;235;5;42
Berzence;160;3;;;;;160;3;46
Böhönye;255;6;;;;;255;6;92
Csokonyavisonta;;;;;;;143;3;90
Csurgó;163;11;212;14;;;190;25;50
Fonyód;490;9;963;24;;;834;33;48
Gyékényes;151;3;;;;;151;3;122
Igal;143;3;;;;;125;4;59
Iharosberény;64;3;;;;;64;3;68
Kadarkút;183;5;;;;;183;5;38
KAPOSVÁR;304;20;455;335;458;204;451;559;24
Kaposszerdahely;296;5;;;;;296;5;69
Kéthely;253;4;;;;;253;4;26
Lábod;165;3;;;;;165;3;29
Látrány;220;3;;;;;209;4;69
Marcali;267;5;382;41;364;8;369;54;32
Nagyatád;263;14;329;75;311;7;318;96;28
Nagyberény;288;4;;;;;288;4;78
Sántos;211;3;;;;;211;3;56
Siófok;724;12;1090;188;814;57;1011;257;38
Szántód;732;3;1684;3;;;1208;6;87
Szenna;189;3;;;;;189;3;49
Tab;99;3;318;16;;;287;20;49
Taszár;262;5;356;25;325;4;338;34;22
Zákány;;;74;3;;;74;3;42
Zamárdi;1664;3;1329;29;;;1360;32;47
Zselicszentpál;146;3;;;;;146;3;41
Somogy vármegye összesen;364;255;656;911;521;283;578;1449;72
