Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Ajak;202;8;;;;;210;9;57
Apagy;250;12;;;;;250;12;37
Baktalórántháza;180;10;;;;;159;12;82
Balkány;216;25;118;3;;;206;28;43
Balsa;101;3;;;;;104;4;15
Biri;194;5;;;;;194;5;72
Bököny;199;15;;;;;199;15;93
Buj;176;11;;;;;176;11;36
Csenger;163;12;267;8;;;205;20;65
Csengerújfalu;83;3;;;;;83;3;37
Demecser;96;4;;;;;93;5;63
Dombrád;84;4;;;;;84;4;38
Döge;130;7;;;;;130;7;38
Érpatak;117;5;;;;;117;5;39
Fábiánháza;88;5;;;;;88;5;97
Fehérgyarmat;251;21;296;33;;;278;54;42
Fényeslitke;177;6;;;;;178;7;65
Gávavencsellő;107;14;;;;;111;15;47
Gégény;134;6;;;;;134;6;81
Geszteréd;157;5;;;;;157;5;33
Győrtelek;58;3;;;;;58;3;22
Gyüre;;;;;;;97;3;30
Ibrány;204;11;;;;;205;13;46
Jármi;219;11;;;;;219;11;42
Kállósemjén;204;19;;;;;201;20;46
Kálmánháza;257;11;;;;;257;11;44
Kékcse;88;4;;;;;88;4;43
Kemecse;230;15;;;;;230;15;45
Kisléta;;;;;;;112;3;42
Kisvárda;304;53;413;69;410;50;379;172;34
Kisvarsány;202;3;;;;;202;3;52
Kocsord;185;13;;;;;185;13;24
Kótaj;257;30;;;;;259;31;41
Levelek;232;12;;;;;232;12;37
Magy;110;4;;;;;110;4;25
Mándok;76;7;;;;;76;7;71
Máriapócs;229;7;;;;;229;7;51
Mátészalka;323;56;393;70;395;29;368;155;28
Mérk;64;7;;;;;64;7;77
Nagycserkesz;179;3;;;;;179;3;64
Nagyecsed;130;4;;;;;130;4;74
Nagyhalász;255;12;;;;;249;13;108
Nagykálló;249;61;360;14;;;270;75;45
Nagyvarsány;75;4;;;;;75;4;61
Napkor;270;22;191;3;;;261;25;30
Nyírbátor;236;39;338;20;397;27;310;86;41
Nyírbogát;214;24;;;;;214;24;48
Nyírbogdány;209;4;237;5;;;225;9;36
Nyírcsászári;162;4;;;;;162;4;36
Nyírderzs;193;3;;;;;193;3;24
NYÍREGYHÁZA;457;215;568;907;504;342;537;1464;27
Nyírgyulaj;150;4;;;;;158;5;41
Nyíribrony;113;3;;;;;116;4;24
Nyírkarász;148;5;;;;;148;5;59
Nyírkáta;82;4;;;;;82;4;39
Nyírkércs;201;3;;;;;201;3;29
Nyírlugos;83;16;;;;;92;17;78
Nyírmada;139;4;;;;;139;4;30
Nyírmeggyes;185;10;;;;;185;10;32
Nyírmihálydi;147;3;;;;;147;3;53
Nyírpazony;408;22;366;4;;;402;26;39
Nyírtass;168;5;;;;;168;5;66
Nyírtelek;325;34;;;;;319;35;53
Nyírtura;284;10;;;;;284;10;39
Nyírvasvári;169;5;;;;;169;5;43
Ófehértó;122;9;;;;;120;10;45
Ópályi;141;8;;;;;141;8;49
Ököritófülpös;73;3;;;;;73;3;52
Őr;96;4;;;;;96;5;10
Pap;176;6;;;;;176;6;52
Penyige;132;3;;;;;132;3;5
Piricse;112;5;;;;;112;5;51
Pócspetri;149;10;;;;;149;10;32
Porcsalma;78;4;;;;;78;4;58
Rakamaz;128;15;161;6;;;138;21;31
Sényő;313;4;;;;;349;5;33
Szabolcs;166;4;;;;;166;4;36
Szabolcsveresmart;107;5;;;;;107;5;73
Szakoly;179;7;;;;;179;7;58
Szorgalmatos;269;4;;;;;269;4;27
Timár;93;3;;;;;74;4;66
Tiszabercel;107;5;;;;;107;5;16
Tiszadada;;;;;;;67;3;65
Tiszadob;145;4;;;;;145;4;30
Tiszaeszlár;;;;;;;133;3;67
Tiszakanyár;106;5;;;;;106;5;87
Tiszalök;151;13;182;9;;;163;22;42
Tiszanagyfalu;175;5;181;7;;;178;12;29
Tiszavasvári;178;31;242;24;161;6;201;61;37
Tornyospálca;131;6;;;;;131;6;94
Tunyogmatolcs;156;8;;;;;156;8;43
Tuzsér;82;10;;;;;82;10;51
Tyukod;69;4;;;;;69;4;68
Újfehértó;325;48;248;5;;;318;54;39
Vaja;147;6;;;;;147;6;43
Vásárosnamény;197;31;312;16;;;242;49;48
Vasmegyer;154;6;;;;;154;6;55
Záhony;;;243;18;202;7;242;27;29
Szabolcs-Szatmár-Bereg vármegye összesen;245;1346;499;1248;471;464;383;3058;54
