Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Bátaszék;125;18;250;6;;;156;24;85
Bonyhád;356;14;389;46;455;19;399;79;31
Decs;103;4;;;;;103;4;21
Dombóvár;193;40;326;75;329;20;287;135;61
Döbrököz;98;5;;;;;98;5;103
Dunaföldvár;179;9;240;8;369;5;244;22;52
Fadd;214;5;;;;;214;5;116
Gyönk;160;3;;;;;141;4;44
Györköny;;;;;;;251;3;26
Hőgyész;134;9;;;;;127;11;49
Iregszemcse;125;5;111;3;;;120;8;40
Kaposszekcső;;;;;310;3;297;4;17
Kölesd;116;6;;;;;101;7;66
Medina;90;5;;;;;123;6;69
Mórágy;173;3;;;;;173;3;87
Nagydorog;143;8;;;;;143;8;62
Nagykónyi;130;5;;;;;130;5;69
Nagymányok;123;7;;;;;123;7;114
Németkér;196;4;;;;;196;4;70
Őcsény;182;4;;;;;173;5;48
Paks;467;15;611;41;593;88;585;144;27
Pálfa;127;5;;;;;127;5;51
Pincehely;63;3;;;;;63;3;75
Sárszentlőrinc;109;4;;;;;109;4;77
Simontornya;123;15;;;;;133;17;40
Szakály;129;7;;;;;108;9;59
Szedres;191;6;;;;;191;6;48
SZEKSZÁRD;243;21;475;146;474;146;459;313;32
Tamási;262;20;292;13;415;13;314;46;43
Tolna;254;25;431;10;438;8;329;43;43
Tolnanémedi;115;5;;;;;110;6;79
Varsád;43;4;;;;;43;4;9
Zomba;258;6;;;;;287;7;48
Tolna vármegye összesen;197;344;417;363;488;304;363;1011;57
