Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Alsószölnök;239;3;;;;;239;3;70
Alsóújlak;225;3;;;;;225;3;70
Balogunyom;324;4;;;;;324;4;86
Bejcgyertyános;221;3;;;;;221;3;43
Boba;115;3;;;;;115;3;72
Bő;303;3;;;;;303;3;30
Bucsu;261;3;;;;;261;3;39
Bük;348;10;502;21;;;452;31;49
Cák;;;;;;;460;3;24
Celldömölk;233;24;377;47;408;4;332;75;46
Csákánydoroszló;268;4;;;;;286;5;44
Csepreg;282;8;;;;;282;8;64
Csipkerek;135;3;;;;;135;3;104
Csörötnek;298;5;;;;;298;5;27
Döröske;204;3;;;;;204;3;37
Egyházasrádóc;300;6;;;;;300;6;51
Felsőmarác;109;3;;;;;109;3;65
Gencsapáti;486;9;778;5;;;590;14;41
Gersekarát;227;4;;;;;227;4;28
Gyöngyösfalu;450;5;;;;;450;5;39
Hegyfalu;266;5;;;;;266;5;82
Hegyhátszentjakab;330;3;;;;;330;3;64
Horvátzsidány;407;3;;;;;407;3;31
Hosszúpereszteg;151;3;;;;;151;3;51
Ikervár;200;7;487;3;;;286;10;66
Ják;370;15;;;;;370;15;53
Jánosháza;254;3;;;;;248;4;25
Káld;192;4;;;;;192;4;72
Kemenesmagasi;58;5;;;;;58;5;88
Kenyeri;204;4;;;;;204;4;31
Körmend;314;18;449;61;452;12;423;91;39
Kőszeg;369;29;495;111;682;5;477;145;42
Kőszegszerdahely;;;607;3;;;607;3;17
Lukácsháza;449;3;;;;;449;3;15
Magyarlak;199;5;;;;;259;6;60
Meggyeskovácsi;105;4;;;;;105;4;16
Nádasd;223;5;;;;;243;6;39
Nagysimonyi;68;3;;;;;68;3;79
Nárai;550;5;;;;;553;6;60
Oszkó;196;3;;;;;196;3;21
Őriszentpéter;694;4;;;;;694;4;64
Pápoc;187;3;;;;;187;3;49
Püspökmolnári;291;3;;;;;291;3;34
Rábapaty;398;6;;;;;398;6;58
Répcelak;411;6;382;7;;;396;13;35
Rum;323;3;;;;;323;3;44
Sárvár;433;33;557;98;456;13;519;144;35
Sé;619;9;;;;;644;11;25
Sorkifalud;126;4;;;;;126;4;63
Söpte;366;4;;;;;366;4;48
Szalafő;513;3;;;;;513;3;29
Szentgotthárd;363;25;550;30;;;465;55;38
SZOMBATHELY;533;109;615;740;543;221;592;1070;31
Táplánszentkereszt;403;11;222;3;;;365;14;46
Torony;347;6;671;4;;;476;10;52
Uraiújfalu;195;4;;;;;195;4;63
Vasasszonyfa;401;5;;;;;401;5;39
Vaskeresztes;380;3;;;;;380;3;55
Vasvár;324;6;359;12;;;347;18;24
Vasszécseny;342;5;;;;;342;5;86
Velem;480;3;;;;;480;3;16
Vép;437;10;;;;;410;12;40
Vönöck;172;4;;;;;172;4;38
Vas vármegye összesen;351;633;569;1159;535;255;498;2047;44
