Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Alsópáhok;383;4;495;3;;;431;7;43
Bagod;334;5;;;;;289;6;53
Balatongyörök;;;1140;5;;;1046;7;19
Bánokszentgyörgy;81;3;;;;;81;3;28
Bázakerettye;204;5;164;3;;;189;8;50
Becsehely;279;4;;;;;266;6;26
Cserszegtomaj;804;5;658;8;;;714;13;19
Egervár;;;;;;;353;3;20
Felsőpáhok;739;3;;;;;739;3;19
Fityeház;376;3;;;;;376;3;63
Galambok;287;7;;;;;287;7;39
Garabonc;253;3;;;;;253;3;49
Gellénháza;396;3;335;4;;;361;7;26
Gyenesdiás;775;17;816;5;;;784;22;28
Hévíz;542;7;821;91;;;795;100;36
Kehidakustány;454;5;1145;12;;;942;17;75
Keszthely;683;14;631;153;614;32;632;199;33
Lenti;401;8;338;35;;;351;44;34
Letenye;232;5;245;4;;;238;9;45
Lovászi;208;4;117;3;;;169;7;49
Nagykanizsa;389;48;380;373;372;98;379;519;29
Nagyrada;312;5;;;;;312;5;48
Nagyrécse;238;4;;;;;238;4;71
Pacsa;161;3;;;;;199;4;60
Pölöske;265;3;;;;;265;3;24
Rezi;481;9;;;;;481;9;41
Sármellék;365;7;324;3;;;353;10;20
Sormás;207;5;;;;;207;5;111
Söjtör;263;5;;;;;263;5;76
Szepetnek;264;4;;;;;264;4;26
Teskánd;450;7;562;13;;;522;20;30
Tófej;297;3;;;;;297;3;18
Tótszerdahely;105;3;;;;;105;3;100
Türje;;;;;;;162;3;29
Újudvar;315;7;;;;;315;7;51
Várvölgy;435;3;;;;;435;3;19
Vonyarcvashegy;588;5;765;5;;;677;10;37
Zalaapáti;345;6;;;;;345;6;52
Zalacsány;526;3;611;7;;;585;10;29
ZALAEGERSZEG;485;38;519;447;463;54;511;539;27
Zalakaros;390;11;649;21;;;560;32;39
Zalakomár;218;3;;;;;218;3;48
Zalalövő;227;9;;;;;227;9;48
Zalaszántó;298;4;;;;;298;4;72
Zalaszentgrót;269;13;513;21;;;420;34;158
Zalaszentlászló;315;7;;;;;315;7;75
Zalavár;235;3;;;;;235;3;31
Zala vármegye összesen;361;470;516;1227;441;187;470;1884;52
