Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Budapest;792;1589;1042;20981;837;6679;981;29249;33
Bács-Kiskun vármegye;294;1236;499;1428;487;535;418;3199;50
Baranya vármegye;186;93;501;1596;508;1235;494;2924;42
Békés vármegye;215;665;303;444;350;817;292;1926;58
Borsod-Abaúj-Zemplén vármegye;261;1184;331;1821;356;1685;322;4690;49
Csongrád-Csanád vármegye;345;948;640;1682;586;1077;549;3707;43
Fejér vármegye;407;720;588;1154;539;1057;526;2931;41
Győr-Moson-Sopron vármegye;458;503;743;2105;630;764;675;3372;35
Hajdú-Bihar vármegye;467;844;778;1632;714;1078;685;3554;38
Heves vármegye;248;972;504;1153;471;196;394;2321;58
Jász-Nagykun-Szolnok vármegye;240;710;403;915;391;401;344;2026;46
Komárom-Esztergom vármegye;300;327;527;1434;509;570;491;2331;36
Nógrád vármegye;173;1294;245;504;272;241;203;2039;66
Pest vármegye;566;1629;792;3512;689;647;717;5788;39
Somogy vármegye;364;255;656;911;521;283;578;1449;72
Szabolcs-Szatmár-Bereg vármegye;245;1346;499;1248;471;464;383;3058;54
Tolna vármegye;197;344;417;363;488;304;363;1011;57
Vas vármegye;351;633;569;1159;535;255;498;2047;44
Veszprém vármegye;456;422;642;1260;584;763;592;2445;55
Zala vármegye;361;470;516;1227;441;187;470;1884;52
